id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
022,22A,PANTALON,AZUL,OGG,28,DE MEZCLILLA,https://drive.google.com/file/d/1XcYXwbUr8TCFT3ozrxMUPkvXJysq_o9f/view?usp=sharing
023,23A,PANTALON,AZUL,S/D,34,DE MEZCLILLA,https://drive.google.com/file/d/1IAk1TtPpo7RzkvcH2JutAu_FczD_ECHl/view?usp=sharing
024,24A,PANTALON,NEGRO,HAMILTON,34,DE MEZCLILLA,https://drive.google.com/file/d/1N7W4vyUgp9Xs6FzXwofZfJdV1UKK4_YI/view?usp=sharing
025,25A,PANTALON,NEGRO,KOMAN JEANS,32,DE MEZCLILLA,https://drive.google.com/file/d/15VSFjaKkeABZ2mccyTSUZE0Ntvi1Q4cG/view?usp=sharing
026,26A,PANTALON,NEGRO,TOKYO JEANS,32,DE MEZCLILLA,https://drive.google.com/file/d/14vGywTvAYlRh42igXCJGvfse3TiI6GKf/view?usp=sharing
027,27A,PANTALON,CAFE,HOLLISTER,32,TIPO GABARDINA,https://drive.google.com/file/d/1q4hdRhHRKE4U9NnZ0Sttz2vh6hnV4Htj/view?usp=sharing
028,28A,PANTALON,AZUL,ZARTINY,32,DE MEZCLILLA,https://drive.google.com/file/d/1PnpW9CCx-_1e-GQQ_tCMw0id94WIKxkk/view?usp=sharing
029,29A,PANTALON,NEGRO,S/D,32,DE MEZCLILLA,https://drive.google.com/file/d/1YMO8eRSFAmMGMzsdP4nMEGPrRLzULjaU/view?usp=sharing
030,30A,PANTALON,NEGRO,CUIDADO CON EL PERRO,30,DE MEZCLILLA,https://drive.google.com/file/d/1rpUEK8qf3nC-ZlTdzCntqM3Z4OPaaXeW/view?usp=sharing
031,31A,PANTALON,NEGRO,CUIDADO CON EL PERRO,28,DE MEZCLILLA,https://drive.google.com/file/d/1GkQC6E8b1U-lyppDF4bCoB9RUk3N4q67/view?usp=sharing
032,32A,PANTALON,NEGRO,S/D,30,"DE MEZCLILLA, DESGARRADO",https://drive.google.com/file/d/1aambjCuoGUiiLb_YkOX2DTY9iSd56H3m/view?usp=sharing
033,33A,PANTALON,AZUL,BLUE JEANS,S/D,"DE MEZCLILLA, DE MUJER",https://drive.google.com/file/d/1K76JDPAgeb2MfyfK-kF_2FRJGpnSaXm9/view?usp=sharing
034,34A,PANTALON,AZUL,S/D,S/D,"DE MEZCLILLA, DE MUJER, CON CORAZONES EN COLOR ROSA A LOS COSTADOS",https://drive.google.com/file/d/1a0Kf8kor0dM5TS0gxNahlw4T5Tr-uPQG/view?usp=sharing
035,35A,PANTALON,NEGRO,S/D,32,DE MEZCLILLA,https://drive.google.com/file/d/1j4Br0vz6BjR8ozn1cy6QJmyUkZ2eTuoj/view?usp=sharing
036,36A,MALLA,AZUL,S/D,S/D,DE POLIESTER,https://drive.google.com/file/d/1Q1V_hnWMJSzs0uXwRmyP-pnRFLQO-ELH/view?usp=sharing
037,37A,PANTALON,AZUL,S/D,32,DE MEZCLILLA,https://drive.google.com/file/d/1ckrlRrsCqvoX740FwHscpsRjSES-SETh/view?usp=sharing
038,38A,PANTALON,NEGRO,D ALEX,32,DE MEZCLILLA,https://drive.google.com/file/d/1dbaDOx_LJ4CyG3T8QgZGd2f9HpFoleBL/view?usp=sharing
039,39A,PANTALON,AZUL,JEANS CARTEL,32,DE MEZCLILLA,https://drive.google.com/file/d/1QH3db15CQjH3OtNrywjv5emfCb3QX0zt/view?usp=sharing
040,40A,PANTALON,NEGRO,S/D,S/D,"DE MEZCLILLA, ESTAMPADO EN LETRAS BLANCAS",https://drive.google.com/file/d/1Affwkhz8D_xucYeipydiug87oEbnFiXz/view?usp=sharing
041,41A,PANTALON,AZUL,OGGI JEANS,30,DE POLIESTER,https://drive.google.com/file/d/1PIReNyCloIlbceOvMAxDHDZ2M_dJX_n-/view?usp=sharing
042,42A,PANTALON,AZUL,OGG,34,DE MEZCLILLA,https://drive.google.com/file/d/1agi0ACKlsBNLvgb9Vmvj1qJH8HAEoPO4/view?usp=sharing
043,43A,PANTALON,AZUL,NEOCITY,30,"DE MEZCLILLA, DESGARRADO",https://drive.google.com/file/d/168377MlllTOJVeceF1EO4lY2IoglKCCc/view?usp=sharing
044,44A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1vyWrbu89SMXUz1ww4_021VHWZz91v8h0/view?usp=sharing
045,45A,PANTALON,CAFE,S/D,S/D,CON RESORTES,https://drive.google.com/file/d/16wYc6t5UpOQOyyE-hPPVHZmEK5jFDbW-/view?usp=sharing
046,46A,PANTALON,NEGRO,S/D,38,DE MEZCLILLA,https://drive.google.com/file/d/1vRlJ4qJevKHNmmLRrpBPgVFuPFS1_df2/view?usp=sharing
047,47A,PANTALON,AZUL,HOLLISTER,32,DE MEZCLILLA,https://drive.google.com/file/d/1vRlJ4qJevKHNmmLRrpBPgVFuPFS1_df2/view?usp=sharing
048,48A,PANTALON,VERDE,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1-d40enH84Lwupx8SuVKUCL-Q5dukilX3/view?usp=sharing
049,49A,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/16pfggloocs7qD4uqWPrHmtr8X3Kqw_8N/view?usp=sharing
050,50A,PANTALON,NEGRO,CARL JEANS,32,DE MEZCLILLA,https://drive.google.com/file/d/1JKz91yGLPRvT7WbeYVFSz-7PWkk6sn4T/view?usp=sharing
051,1B,PANTALON,NEGRO,S/D,S/D,"DE MEZCLILLA, CON ESTAMPADO EN COLOR BLANCO CON ROJO",https://drive.google.com/file/d/1gL1L6nM8-2eIqKcgkXrmqfw-7m0VdJP7/view?usp=sharing
052,2B,PANTALON,AZUL,AMERICAN EAGLE,32,DE MEZCLILLA,https://drive.google.com/file/d/13XBK__wFOp-jTWdsV5R39ARA_TrPuyGe/view?usp=sharing
053,3B,PANTALON,CAFE,S/D,S/D,TIPO GABARDINA,https://drive.google.com/file/d/1Nfka9IpaNlN9BYzOzjBtjT4-Kn-o53qU/view?usp=sharing
054,4B,PANTALON,NEGRO,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1tL7QehIcAO7UwCfUee45H3FI3TTA9dTS/view?usp=sharing
055,5B,PANTALON,CAFE,S/D,S/D,ROMPEVIENTOS,https://drive.google.com/file/d/1_Lv4eCWGRowjM3-4975l-kCYYxoUEsYt/view?usp=sharing
056,6B,PANTALON,NEGRO,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1TaDisey2cg-0HahpsYtttoVw-HCycufo/view?usp=sharing
057,7B,PANTALON,AZUL,S/D,28,DE MEZCLILLA,https://drive.google.com/file/d/1ZRiWqT2J7r9UZHqfl4Q9KfnlFf1d6Qw2/view?usp=sharing
058,8B,PANTALON,AZUL,CYA,34,DE MEZCLILLA,https://drive.google.com/file/d/1nNvbJy3VBVRDa7r1pnKNcycoFhBYfCXW/view?usp=sharing
059,9B,PANTALON,AZUL,BASIC,32,DE MEZCLILLA,https://drive.google.com/file/d/1xLqci5CgFPq0vLN6XV04W87dYbykAgGU/view?usp=sharing
060,10B,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1r9PszJybKHcBVAaMB4JxQJbYm4STjHWv/view?usp=sharing
061,11B,PANTALON,AZUL,LONDON,32,DE MEZCLILLA,https://drive.google.com/file/d/1808Ig3R7LQa7hhdQ-cT_ViVDeWOJEOPz/view?usp=sharing
062,12B,PANTALON,NEGRO,CYA,32,DE MEZCLILLA,https://drive.google.com/file/d/1jSb4HAIwSbzZd3A_fVGmBiTO29toIoHk/view?usp=sharing
063,13B,PANTALON,NEGRO,S/D,S/D,DE MEZCLILLA Y BOLSAS A LOS COSTADOS,https://drive.google.com/file/d/1MZm-eoQYpNPMTqQF3zm_xtRrkBZ2RIna/view?usp=sharing
064,14B,PANTALON,NEGRO,KARE,30,DE MEZCLILLA,https://drive.google.com/file/d/1ieSVz1RXEqIXdyp36GXkBg3Y3CNdRrV6/view?usp=sharing
065,15B,PANTALON,NEGRO,AMERICAN MADE,S/D,TIPO PANTS,https://drive.google.com/file/d/18iYSpSnPqmQ018uKr-XxZtLZ_QkXb6n-/view?usp=sharing
066,16B,PANTALON,NEGRO,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1_O-F6N1KUgxRyrE_SC-EnLPEeyJ4Wawm/view?usp=sharing
067,17B,PANTALON,AZUL,LEXUS,30,DE MEZCLILLA,https://drive.google.com/file/d/1L7BIUGx8z8_yyXsWbbwQkX0bxrWhUrVt/view?usp=sharing
068,18B,PANTALON,GRIS,AIZEN,28,DE MEZCLILLA,https://drive.google.com/file/d/1rwFvJzmTOqbdt3J7hTgfwz4Ybml4IyZB/view?usp=sharing
069,19B,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA CON RESORTE EN LA CINTURA,https://drive.google.com/file/d/1C_nCrKCPkVHg4Ka5ZSflY-hvRwYuUw9n/view?usp=sharing
070,20B,PANTALON,NEGRO,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1rGVLqaUbfv-KcJaFMqWVD3Xt6cod6KNx/view?usp=sharing
071,21B,PANTALON,AZUL,DB,30,DE MEZCLILLA,https://drive.google.com/file/d/1vg8Xa01AC8cIE3gsrEZquTkXbGUvC8Ga/view?usp=sharing
072,22B,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1XpGfovUAXNoHzP66ITvkXo2N2NwcqY6v/view?usp=sharing
073,23B,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1tI0iqbTHuPgT5tu0f8rPrs7ANArEjFhL/view?usp=sharing
074,24B,PANTALON,NEGRO,LEVIS,30,DE MEZCLILLA,https://drive.google.com/file/d/1H0LKd6DidzISXP1YpdJWyUMWJJQhAZ34/view?usp=sharing
075,25B,PANTALON,NEGRO,S/D,S/D,TIPO CARGO,https://drive.google.com/file/d/15CoMv8Z2ykbWjWe06-NsE6uPwKmrK0zs/view?usp=sharing
076,26B,PANTALON,NEGRO,S/D,36,DE MEZCLILLA,https://drive.google.com/file/d/1TSA9Zz3ycxQTraPGU6TP8JW-f2Qf5hKQ/view?usp=sharing
077,27B,PANTALON,NEGRO,S/D,34,DE MEZCLILLA,https://drive.google.com/file/d/1cvhiVZUoNYKDu0xgapInfhjnANvzUFDV/view?usp=sharing
078,28B,PANTALON,NEGRO,DINASTIA,GRANDE,TIPO CARGO,https://drive.google.com/file/d/1V_ntqIf4Ocg-9R6Wapamgk68afKs45Ep/view?usp=sharing
079,29B,PANTALON,AZUL,S/D,28,DE MEZCLILLA,https://drive.google.com/file/d/1FXlh2i48bPNUJE7fZ79tKSM_kX3R17cM/view?usp=sharing
080,30B,PANTALON,AZUL,LEE,7,"DE MEZCLILLA, DE DAMA",https://drive.google.com/file/d/1IlTGidHiLj0Wp_v0meWZr_jtlutwDlYB/view?usp=sharing
081,31B,PANTALON,AZUL,GEES,30,DE MEZCLILLA,https://drive.google.com/file/d/1U3CeT3Vnf0PsrFdQbcHOQz-qB9A5o6vv/view?usp=sharing
082,32B,PANTALON,AZUL,D ALEX,28,DE MEZCLILLA,https://drive.google.com/file/d/1U3GjS0HktJn5c_ukniyp6iiV3oZ8yBoc/view?usp=sharing
083,33B,PANTALON,AZUL,DICKIES,S/D,DE MEZCLILLA,https://drive.google.com/file/d/18ykCT35tUPVyEcZMXPCZU5eDNaeifvBk/view?usp=sharing
084,34B,PANTALON,NEGRO,BLUE MAGIC,32,DE MEZCLILLA,https://drive.google.com/file/d/1yL5EEk0YKez72YFkNWQ3srSabITjMvt8/view?usp=sharing
085,35B,PANTALON,NEGRO,S/D,S/D,TIPO PANTS,https://drive.google.com/file/d/1UhXWhLLPwIXmFVxJG3XVXCa-aYg2i0KM/view?usp=sharing
086,36B,PANTALON,AZUL,JOHN SILVER,8,"DE MEZCLILLA, DE DAMA",https://drive.google.com/file/d/11cyvFWRC7_g8LR5_uVbXiyuY7catZXqb/view?usp=sharing
087,37B,PANTALON,AZUL,HIPPIE AND ROCK,28,DE MEZCLILLA CON LA LEYENDA HIPPIE EN COLORES AL FRENTE,https://drive.google.com/file/d/1Lrwh-AFJJ0f8KnSrdTRN24TP4rOokEII/view?usp=sharing
088,38B,PANTALON,AZUL,S/D,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1_Daeg2oB1K6IbQKvs84oG13Bbt0Z0AY_/view?usp=sharing
089,39B,PANTALON,AZUL,SURPRISE,27,DE MEZCLILLA,https://drive.google.com/file/d/17HbJKFs_2Eh8SqMrj_PUh6QMAfEeiyrl/view?usp=sharing
090,40B,PANTALON,AZUL,FLIGHT SAPS,30,DE MEZCLILLA,https://drive.google.com/file/d/1VguojtuXk8gaf2srBkoaO2u94Erxigk2/view?usp=sharing
091,41B,PANTALON,AZUL,GHOAX INDUSTRY,S/D,DE MEZCLILLA,https://drive.google.com/file/d/18dj6-hPEKryaYs37btrn1qo3-KbLmPn6/view?usp=sharing
092,42B,PANTALON,AZUL,SKINNY,32,DE MEZCLILLA,https://drive.google.com/file/d/1NtVSQYK1-lX6fA0nJBAEJ_g-MeK-GXOK/view?usp=sharing
